event_type,height,tx_hash,attributes
tx,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""fee"", ""value"": ""0ustars""}]"
tx,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""acc_seq"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp/6038""}]"
tx,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""signature"", ""value"": ""zebWZuji7KVfir4/2E8BgMY1oLFnDtjWYgECZIIOwtRe5p3dnmDgOitW2iwtY6y4pLFqT+z+P8wBN0YTiSjdZw==""}]"
message,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""action"", ""value"": ""/cosmwasm.wasm.v1.MsgExecuteContract""}]"
message,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""module"", ""value"": ""wasm""}, {""key"": ""sender"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp""}]"
execute,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""_contract_address"", ""value"": ""stars120zjnnpca5p42pc5f5fqaj923q8cu9ekr2duw25fd8f9p4gzrhcsy6g44z""}]"
wasm,3630309,E8DEF98D948369A5D6785E4D0C755374B39D4C1B956B26164EC1CA45C9940315,"[{""key"": ""_contract_address"", ""value"": ""stars120zjnnpca5p42pc5f5fqaj923q8cu9ekr2duw25fd8f9p4gzrhcsy6g44z""}, {""key"": ""action"", ""value"": ""burn""}, {""key"": ""sender"", ""value"": ""stars1z4ecae6w247fxa2j6ganwzwuja7zgw03yfkhcp""}, {""key"": ""token_id"", ""value"": ""4408""}]"
coin_spent,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""spender"", ""value"": ""stars10pmwjch8e67wkn033zq6n4gnqxafjctr5cusyc""}, {""key"": ""amount"", ""value"": ""2000ustars""}]"
coin_received,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""receiver"", ""value"": ""stars17xpfvakm2amg962yls6f84z3kell8c5ly95aqv""}, {""key"": ""amount"", ""value"": ""2000ustars""}]"
transfer,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""recipient"", ""value"": ""stars17xpfvakm2amg962yls6f84z3kell8c5ly95aqv""}, {""key"": ""sender"", ""value"": ""stars10pmwjch8e67wkn033zq6n4gnqxafjctr5cusyc""}, {""key"": ""amount"", ""value"": ""2000ustars""}]"
message,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""sender"", ""value"": ""stars10pmwjch8e67wkn033zq6n4gnqxafjctr5cusyc""}]"
tx,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""fee"", ""value"": ""2000ustars""}]"
tx,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""acc_seq"", ""value"": ""stars10pmwjch8e67wkn033zq6n4gnqxafjctr5cusyc/50443""}]"
tx,3630309,0510631DDED4A9C79EA7EB059DDF619CE6778EC62AAD12CB8AC31E6289D14805,"[{""key"": ""signature"", ""value"": ""yJIU1QAaWTRAQto1w6ACfSYbJb2Ffh6ShHf3qfB7JjVVhH/TyIINv1ln6DpNFfmzHHLLqmBZwfguTVi6hYfj5A==""}]"
